,county,state_x,lat_avg,lng_avg,install_prop,state_y,d_prop,r_prop,d_votes,r_votes
61,Nacogdoches,Texas,31.6207868098073,-94.65064273313506,1.66001002646056e-05,Texas,0.3219629246259528,0.6780370753740472,6843.0,14411.0
62,Napa,California,38.3494470902791,-122.33272999381495,0.0005269475638697918,California,0.6480025555930218,0.35199744440697817,36513.0,19834.0
63,Nevada,California,39.23062762882487,-120.868789873978,0.00032005030966271187,California,0.5293472298409215,0.4706527701590784,27985.0,24882.0
64,Newton,Texas,30.462368066337923,-93.77646357287969,0.0,Texas,0.1874595992243051,0.8125404007756949,870.0,3771.0
65,Nueces,Texas,27.734945275944877,-97.42494667089886,3.715671636727508e-06,Texas,0.4287657332843973,0.5712342667156026,39720.0,52918.0
66,Orange,Texas,30.123742989271747,-93.87214585317774,1.957999922659003e-06,Texas,0.16676894752991714,0.8332310524700829,4348.0,21724.0
67,Orange,Texas,30.123742989271747,-93.87214585317774,1.957999922659003e-06,Texas,0.007988256454632471,0.9920117435453675,4348.0,539951.0
68,Orange,Texas,30.123742989271747,-93.87214585317774,1.957999922659003e-06,California,0.9615348521790248,0.03846514782097523,543047.0,21724.0
69,Orange,Texas,30.123742989271747,-93.87214585317774,1.957999922659003e-06,California,0.5014293655205273,0.4985706344794727,543047.0,539951.0
70,Orange,California,33.72552820908645,-117.85457576464523,0.0005371070712271574,Texas,0.16676894752991714,0.8332310524700829,4348.0,21724.0
71,Orange,California,33.72552820908645,-117.85457576464523,0.0005371070712271574,Texas,0.007988256454632471,0.9920117435453675,4348.0,539951.0
72,Orange,California,33.72552820908645,-117.85457576464523,0.0005371070712271574,California,0.9615348521790248,0.03846514782097523,543047.0,21724.0
73,Orange,California,33.72552820908645,-117.85457576464523,0.0005371070712271574,California,0.5014293655205273,0.4985706344794727,543047.0,539951.0
74,Placer,California,38.876724610411,-121.1135600140584,0.0010240666300925917,California,0.411966230967867,0.588033769032133,72270.0,103157.0
75,Potter,Texas,35.22430020969847,-101.84680356013537,1.4851915344082539e-05,Texas,0.2783965294289409,0.7216034705710591,6674.0,17299.0
76,Randall,Texas,35.11303425745619,-101.88854845935415,1.6781398438093422e-05,Texas,0.16925143228893413,0.8307485677110659,8065.0,39586.0
77,Riverside,California,33.791003166657354,-117.01129419258905,0.00048663767420950804,California,0.4981326547139956,0.5018673452860044,319845.0,322243.0
78,Robertson,Texas,30.95157069182384,-96.54050728618263,0.0,Texas,0.2828331719909648,0.7171668280090352,1753.0,4445.0
79,Rockwall,Texas,32.91538009306529,-96.43269202589188,5.334859426454113e-05,Texas,0.2475164035942976,0.7524835964057024,9393.0,28556.0
80,Rusk,Texas,32.22417697691422,-94.77971297895144,0.0,Texas,0.20086983535259398,0.799130164647406,3233.0,12862.0
81,Sacramento,California,38.56406807537659,-121.37523980732031,0.0004980842210994574,California,0.5880949512925826,0.41190504870741745,302696.0,212010.0
82,San Benito,California,36.84111120840048,-121.40109956790279,0.00011008935426371283,California,0.5612026482154413,0.4387973517845587,11274.0,8815.0
83,San Bernardino,California,34.207497320342604,-117.30377596681022,0.0005151010456551227,California,0.5153512404770192,0.4846487595229808,276874.0,260379.0
84,San Diego,California,32.906348316642834,-117.10542769892434,0.0008145656849320533,California,0.5685797640165889,0.43142023598341106,658346.0,499532.0
85,San Francisco,California,37.75289806870274,-122.44530312414088,0.00018818134867240295,California,0.863901018922853,0.13609898107714702,312181.0,49181.0
86,San Jacinto,Texas,30.57252611540741,-95.14456596607924,0.0,Texas,0.16527942925089179,0.8347205707491082,1529.0,7722.0
87,San Joaquin,California,37.93074422806762,-121.28857042487893,0.00023490280253104945,California,0.5218782143591854,0.47812178564081464,101474.0,92966.0
88,San Luis Obispo,California,35.358512576196304,-120.67897161645928,0.00026758433703529905,California,0.5157618768514265,0.4842381231485735,65117.0,61137.0
89,San Mateo,California,37.55383384367299,-122.33999800575218,0.0005213101950365831,California,0.7522537774579929,0.24774622254200704,213282.0,70242.0
90,San Patricio,Texas,27.943789813585703,-97.3849793697985,1.2222747347663825e-05,Texas,0.32428531779072994,0.67571468220927,5842.0,12173.0
91,Santa Barbara,California,34.62897851299546,-120.06639597081423,0.000334720895940941,California,0.6048755648087868,0.39512443519121315,93841.0,61300.0
92,Santa Clara,California,37.30334491840517,-121.9049926298696,0.0007320260223823104,California,0.7139512064945187,0.28604879350548124,438758.0,175791.0
93,Santa Cruz,California,36.99136874344111,-121.94426276173245,0.000512287923214289,California,0.7678877068161224,0.23211229318387758,91523.0,27665.0
